player_id,player_name,player_first_name,player_last_name,player_team,player_team_id,previous_games,previous_average,previous_total,locked,active,played_status,supercoach_price,points,games,minutes_played,total_rebouds,total_assists,total_steals,total_blocks,total_turnovers,supercoach_position_1,injury_suspension_status,injury_suspension_status_text,supercoach_position_2
107,Daniel Foster,Daniel,Foster,South East Melbourne Phoenix,2,0,0,0,FALSE,TRUE,Yet to play,91500,0,0,0,22,26,24,3,-8,GRD,NA,NA,NA
108,Owen Foxwell,Owen,Foxwell,South East Melbourne Phoenix,2,28,15.89,445,FALSE,TRUE,Yet to play,259200,0,0,0,29,86,33,9,-30,GRD,NA,NA,NA
109,Gorjok Gak,Gorjok,Gak,South East Melbourne Phoenix,2,24,8.54,205,FALSE,TRUE,Yet to play,65600,0,0,0,18,2,0,3,-2,CTR,NA,NA,FWD
110,Angus Glover,Angus,Glover,South East Melbourne Phoenix,2,29,17.97,521,FALSE,TRUE,Yet to play,200600,0,0,0,26,24,15,9,-12,GRD,Injury,Ankle. Expected recovery time is to be confirmed.,NA
111,Jordan Hunter,Jordan,Hunter,South East Melbourne Phoenix,2,29,20.03,581,FALSE,TRUE,Yet to play,187200,0,0,0,54,26,18,18,-32,CTR,NA,NA,NA
112,Malique Lewis,Malique,Lewis,South East Melbourne Phoenix,2,29,15.07,437,FALSE,TRUE,Yet to play,236400,0,0,0,52,44,48,18,-16,FWD,NA,NA,NA
113,Hunter Maldonado,Hunter,Maldonado,South East Melbourne Phoenix,2,0,0,0,FALSE,TRUE,Yet to play,238100,0,0,0,29,94,33,6,-20,GRD,NA,NA,NA
114,D.J. Mitchell,D.J.,Mitchell,South East Melbourne Phoenix,2,0,0,0,FALSE,TRUE,Yet to play,83400,0,0,0,19,16,3,0,-6,FWD,NA,NA,NA
115,Nathan Sobey,Nathan,Sobey,South East Melbourne Phoenix,2,29,30.62,888,FALSE,TRUE,Yet to play,345900,0,0,0,37,78,54,9,-58,GRD,NA,NA,NA
116,Lueth Awan,Lueth,Awan,Sydney Kings,9,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,3,0,0,0,-2,GRD,NA,NA,NA
117,Shaun Bruce,Shaun,Bruce,Sydney Kings,9,27,7.15,193,FALSE,TRUE,Yet to play,62000,0,0,0,13,12,6,6,0,GRD,NA,NA,NA
118,Xavier Cooks,Xavier,Cooks,Sydney Kings,9,28,36.61,1025,FALSE,TRUE,Yet to play,348300,0,0,0,85,62,21,45,-28,FWD,NA,NA,NA
119,Kendric Davis,Kendric,Davis,Sydney Kings,9,27,45.56,1230,FALSE,TRUE,Yet to play,401100,0,0,0,46,90,36,0,-36,GRD,NA,NA,NA
120,Matthew Dellavedova,Matthew,Dellavedova,Sydney Kings,9,27,26.52,716,FALSE,TRUE,Yet to play,235800,0,0,0,42,116,33,0,-40,GRD,NA,NA,NA
121,Jaylin Galloway,Jaylin,Galloway,Sydney Kings,9,10,11.5,115,FALSE,TRUE,Yet to play,181700,0,0,0,25,14,36,18,-16,FWD,NA,NA,NA
